Filename,RA,Dec,TIC_ID,Sector,Camera,CCD,Magnitude
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_261105201.pkl,82.8273670408244,-79.0087723001529,261105201,2,4,2,8.3628998
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_100029948.pkl,23.4263049755405,-43.8231097019207,100029948,2,2,2,11.6254
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_349832824.pkl,113.647634124481,-64.9446891492015,349832824,2,4,3,10.2684
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_349059354.pkl,107.504508397115,-64.6187650227455,349059354,2,4,3,11.0057
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_198076334.pkl,63.6503914667638,-59.0896783601396,198076334,2,4,1,8.2054005
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_349480752.pkl,110.860267369379,-64.6920245232926,349480752,2,4,3,8.0691004
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_349480507.pkl,110.93677193469,-65.0109401699279,349480507,2,4,3,9.3959999
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_201776479.pkl,33.42123473875489,-59.70002222306029,201776479,2,3,1,10.487
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_201234926.pkl,359.87314983720324,-53.609218428602105,201234926,2,2,1,11.5159
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_308991822.pkl,123.113156535933,-65.5448557818138,308991822,2,4,3,9.0625
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_382517745.pkl,117.452108578842,-64.0423791819709,382517745,2,4,3,10.5992
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_382425148.pkl,350.06945716006203,-44.06520964784021,382425148,2,2,4,11.4595
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_425864141.pkl,352.08559747087486,-45.9170314729801,425864141,2,2,4,13.8697
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_183596242.pkl,18.367389000000006,-38.350685,183596242,2,2,2,9.7849998
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_160081043.pkl,352.0531716144069,-39.9232510261836,160081043,2,2,4,12.9518
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_201176965.pkl,357.9242603176091,-53.000094629679786,201176965,2,2,1,11.1378
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_183537458.pkl,357.79880629812493,-39.865559382215295,183537458,2,2,4,9.3816004
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_219984354.pkl,29.660438,-53.527636,219984354,2,3,1,9.2460003
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_382474101.pkl,12.274293,-52.04652700000001,382474101,2,2,1,10.179
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_260502102.pkl,96.5159949937714,-59.01616661486239,260502102,2,4,4,11.0261
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_260161144.pkl,92.785389,-58.287688,260161144,2,4,4,9.111000099999998
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_197886566.pkl,57.3105071631948,-58.44113571870751,197886566,2,3,4,9.8260002
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_309792357.pkl,80.10548118757879,-59.895684311069495,309792357,2,4,1,10.0391
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_382069441.pkl,79.67393113594298,-58.0705893248135,382069441,2,4,1,11.3792
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_220474209.pkl,75.38491887111581,-59.51280427413779,220474209,2,4,1,10.2897
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_350298314.pkl,83.74447045120709,-59.33795535997729,350298314,2,4,1,10.4281
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_382069435.pkl,79.6565387265123,-58.0532696802131,382069435,2,4,1,10.4534
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_278683641.pkl,99.245570094594,-58.4601678007761,278683641,2,4,4,9.5402002
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_355601553.pkl,357.689272690949,-59.5403018892459,355601553,2,2,1,9.3676004
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_231010756.pkl,25.7960181063863,-58.010114153243705,231010756,2,3,1,8.319700200000002
tesslcs_sector_2_104/2_min_cadence_targets/tesslc_197908268.pkl,58.612004304524,-58.5776799120004,197908268,2,3,4,9.717900300000002
