Filename,RA,Dec,TIC_ID,Sector,Camera,CCD,Magnitude
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_25374751.pkl,328.75929158795293,-20.240816566448885,25374751,1,1,3,11.5526
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_152225810.pkl,312.491986457294,-33.7797215081438,152225810,1,1,4,4.0595002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_31867858.pkl,52.9961042685091,-68.9600190867013,31867858,1,3,4,9.9371996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_220508128.pkl,347.0252800713,-57.1251332524996,220508128,1,2,2,8.2489996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_260542381.pkl,96.98487173229644,-58.8645669610607,260542381,1,4,4,10.1464
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_139362241.pkl,349.523120117385,-44.9839617121566,139362241,1,2,3,9.3664999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_272130354.pkl,116.43995281429702,-75.16169922723098,272130354,1,4,2,11.0002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_349056597.pkl,107.302320144002,-62.5299359706369,349056597,1,4,3,14.5189
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_350559756.pkl,86.4912319793203,-56.4515167971638,350559756,1,4,4,8.2026997
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_159837603.pkl,320.40462282624287,-37.56357910762979,159837603,1,1,1,9.3394003
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_121424447.pkl,342.08832993792214,-45.248609962918,121424447,1,2,3,9.2138996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_278706162.pkl,334.919520013163,-41.292737552965,278706162,1,1,2,10.6713
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_99566892.pkl,320.84910838899,-21.83115476598069,99566892,1,1,3,12.1715
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_348839628.pkl,98.8444050778268,-57.2969990053792,348839628,1,4,4,10.9267
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_278782057.pkl,335.687011671288,-38.7541736457326,278782057,1,1,2,7.890900099999999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_54001270.pkl,331.541000879772,-29.5484314479708,54001270,1,1,3,10.6142
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_269795007.pkl,68.3309411744349,-78.1854813540164,269795007,1,4,2,13.5767
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_269764352.pkl,66.938451332085,-81.73682484715292,269764352,1,3,3,9.3943005
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_281702909.pkl,10.676252,-56.943791,281702909,1,3,1,9.4169998
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_8196324.pkl,311.30461517767014,-37.50703940104151,8196324,1,1,1,9.4419003
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_394584352.pkl,340.268983011244,-62.9426525568125,394584352,1,2,1,7.183700099999999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_197640175.pkl,328.30593982080086,-39.26537828450551,197640175,1,1,2,9.6471996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_267041899.pkl,353.376054889371,-57.0536608392685,267041899,1,2,2,7.377600200000002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_206473428.pkl,331.34049554114,-23.4731475281785,206473428,1,1,3,10.7867
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_177080894.pkl,103.659630272596,-66.4783669520577,177080894,1,4,3,11.2659
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_389047273.pkl,332.547225502472,-63.7225721176789,389047273,1,2,1,8.587599800000001
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_393892742.pkl,333.54526383295,-28.7683547101443,393892742,1,1,3,14.1754
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_394634714.pkl,359.042801713828,-72.0021792931772,394634714,1,3,2,9.0584002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_389922504.pkl,87.8597070039301,-70.47939172523401,389922504,1,4,2,8.3118
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_70441350.pkl,339.564165698394,-32.6601089363255,70441350,1,1,2,8.3269997
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_147113150.pkl,321.7238460246872,-42.4702734001708,147113150,1,1,1,9.8772001
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_266878145.pkl,0.4089416916671969,-76.2305247031205,266878145,1,3,2,10.9544
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_29284027.pkl,313.07607913441893,-24.158652099872,29284027,1,1,4,8.146699900000002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_393908829.pkl,338.022236730511,-39.4256730581089,393908829,1,1,2,9.3091002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_142144594.pkl,99.70730829610028,-73.7384195559309,142144594,1,4,2,11.8933
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_38461869.pkl,61.5015947967169,-65.837889476279,38461869,1,4,1,10.6671
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_206350421.pkl,354.843992360389,-53.3872051701378,206350421,1,2,2,8.8147001
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_89044162.pkl,338.9592889041012,-47.201088199539,89044162,1,2,3,12.0415
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_364539359.pkl,71.284503,-72.82028199999998,364539359,1,4,2,9.0579996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_290495172.pkl,2.5090728792431203,-82.22404683304099,290495172,1,3,3,4.415
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_304134473.pkl,28.71228277655,-72.32307261932819,304134473,1,3,4,9.6857996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_214568610.pkl,340.54262362990886,-41.487303551975,214568610,1,2,3,9.9015999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_183306102.pkl,17.9779190824572,-75.7020823491598,183306102,1,3,3,13.72
