Filename,RA,Dec,TIC_ID,Sector,Camera,CCD,Magnitude
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_25300818.pkl,327.852502,-23.270528,25300818,1,1,3,6.3769999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_62483251.pkl,336.2396066357452,-34.3233065816723,62483251,1,1,2,8.8072996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_238186581.pkl,55.1664208225799,-75.55428175547941,238186581,1,3,3,9.2080002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_152825519.pkl,344.574351240738,-41.8572885221834,152825519,1,2,3,7.8283
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_31998055.pkl,55.44224423425901,-67.4745627070851,31998055,1,3,4,12.8955
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_201309703.pkl,4.26328971369058,-55.84585498040772,201309703,1,2,2,9.9368
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_89018471.pkl,337.94658323487886,-45.9802643891718,89018471,1,2,3,8.2504997
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_40802388.pkl,78.55309223406141,-70.4544936919554,40802388,1,4,2,9.9857998
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_140512200.pkl,66.72385906697582,-73.9334275090267,140512200,1,4,2,11.1161
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_300384626.pkl,111.184631127647,-71.0504763193812,300384626,1,4,3,9.9934998
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_79305024.pkl,319.112259338518,-53.00444626696221,79305024,1,2,4,8.113100099999999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_370103170.pkl,69.9597160655748,-70.09064130887761,370103170,1,4,1,10.2078
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_144048277.pkl,337.125317100301,-51.7880489994837,144048277,1,2,3,5.5348001
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_144458720.pkl,336.250115617436,-45.4003525755588,144458720,1,2,3,10.9786
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_201175420.pkl,357.78085745153686,-51.7033976789517,201175420,1,2,2,11.1796
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_44628052.pkl,341.657706234599,-46.378410154229705,44628052,1,2,3,10.5878
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_349648152.pkl,112.22058532188,-65.2446946512357,349648152,1,4,3,10.4612
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_279741379.pkl,51.74676196564801,-63.4991005063024,279741379,1,3,4,6.993400099999999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_204499030.pkl,326.910449974681,-34.93133649617731,204499030,1,1,2,10.4983
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_293934817.pkl,106.608052270366,-59.515357892667296,293934817,1,4,3,10.8992
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_92862191.pkl,317.486628319163,-31.1100870144026,92862191,1,1,4,10.5394
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_278709926.pkl,335.117618855226,-40.3470420095202,278709926,1,1,2,10.8087
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_29253938.pkl,312.665140968814,-27.9766862998526,29253938,1,1,4,8.162799799999998
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_391903770.pkl,106.290515083826,-74.33564685080259,391903770,1,4,2,11.376
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_300157969.pkl,108.895778735117,-68.3063575860117,300157969,1,4,3,9.6037998
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_260983164.pkl,75.9564188055412,-79.50674338483721,260983164,1,4,2,8.997300099999997
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_234529347.pkl,16.6479556709587,-64.7725399557818,234529347,1,3,1,8.870300300000002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_308919449.pkl,122.618220317231,-65.8523450134815,308919449,1,4,3,9.8146
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_25170460.pkl,326.47406969782,-21.7487961597476,25170460,1,1,3,8.8957996
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_382572066.pkl,118.254640056837,-65.2765807157617,382572066,1,4,3,9.1421003
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_97402126.pkl,332.427656972438,-33.7542792498146,97402126,1,1,2,8.7579002
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_121470291.pkl,342.463142197816,-44.423543810143,121470291,1,2,3,8.0311003
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_262577790.pkl,116.325626764591,-64.5963661556108,262577790,1,4,3,9.0874004
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_325094050.pkl,327.9741678985349,-67.6096395013003,325094050,1,2,1,10.1675
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_304093921.pkl,26.6568652673519,-74.7387410983127,304093921,1,3,3,6.606100099999999
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_159843139.pkl,320.42671236087995,-41.062913335208,159843139,1,1,1,8.957099900000003
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_348759909.pkl,45.5067115421146,-80.78955547906499,348759909,1,3,3,9.8624001
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_29717216.pkl,315.539333294158,-28.287040898526893,29717216,1,1,4,10.3695
tesslcs_sector_1_104/2_min_cadence_targets/tesslc_270557666.pkl,100.120208826051,-79.2246920324477,270557666,1,4,2,10.4011
